lead_001,gamers,2020-09-04,true,09029332,anna@gmail.com,702 Nguyen Van Linh
lead_003,Bao,1980-08-27,false,0702899015,baogia0912@gmail.com,958 Ly Thuong Kiet
lead_005,Anh,2020-09-04,true,0702899015,baogia0912@gmail.com,958 Ly Thuong Kiet
lead_006,Nam,1970-08-27,true,0702899015,baogia0912@gmail.com,958 Ly Thuong Kiet
lead_007,Chi,1980-08-27,false,0702899015,baogia0912@gmail.com,958 Ly Thuong Kiet
lead_008,Thanh,1970-08-27,false,0702899015,baogia0912@gmail.com,958 Ly Thuong Kiet
lead_009,Loc,1990-08-27,true,0702899015,baogia0912@gmail.com,958 Ly Thuong Kiet
lead_010,Thuan,1990-08-27,true,0702899015,baogia0912@gmail.com,958 Ly Thuong Kiet
lead_011,Truc,1970-08-27,false,0702899015,baogia0912@gmail.com,958 Ly Thuong Kiet
lead_012,Nhi,1960-08-27,false,0702899015,baogia0912@gmail.com,958 Ly Thuong Kiet
lead_013,Vy,1980-08-27,true,0702899015,baogia0912@gmail.com,958 Ly Thuong Kiet
lead_014,Duong,1980-08-27,true,0702899015,baogia0912@gmail.com,958 Ly Thuong Kiet
lead_015,Hang,1960-08-27,false,0702899015,baogia0912@gmail.com,958 Ly Thuong Kiet
lead_016,Cuong,1970-08-27,true,0702899015,baogia0912@gmail.com,958 Ly Thuong Kiet
lead_017,Tri,1970-08-27,true,0702899015,baogia0912@gmail.com,958 Ly Thuong Kiet
lead_018,sdfvwejcaw weac aw NBKJN,1960-08-27,false,0702899015,baogia0912@gmail.com,958 Ly Thuong Kiet
